2019-03-04 22:30:03  django.db.backends  DEBUG  [90]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:30:03  django.db.backends  DEBUG  [90]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:30:03  django.db.backends  DEBUG  [90]   (0.007) SELECT VERSION(); args=None
2019-03-04 22:30:03  django.db.backends  DEBUG  [90]   (0.007) SELECT VERSION(); args=None
2019-03-04 22:30:04  django.db.backends  DEBUG  [90]   (0.009) SHOW FULL TABLES; args=None
2019-03-04 22:30:04  django.db.backends  DEBUG  [90]   (0.010) SHOW FULL TABLES; args=None
2019-03-04 22:30:04  django.db.backends  DEBUG  [90]   (0.058) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:30:04  django.db.backends  DEBUG  [90]   (0.058) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:30:14  django.db.backends  DEBUG  [90]   (0.011) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:30:14  django.db.backends  DEBUG  [90]   (0.009) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.008) SELECT VERSION(); args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.008) SELECT VERSION(); args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.011) SHOW FULL TABLES; args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.015) SHOW FULL TABLES; args=None
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:34:43  django.db.backends  DEBUG  [90]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.007) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.007) SELECT VERSION(); args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.007) SELECT VERSION(); args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.011) SHOW FULL TABLES; args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.009) SHOW FULL TABLES; args=None
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:39:35  django.db.backends  DEBUG  [90]   (0.009) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.009) SELECT VERSION(); args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.008) SELECT VERSION(); args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.009) SHOW FULL TABLES; args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.011) SHOW FULL TABLES; args=None
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:39:56  django.db.backends  DEBUG  [90]   (0.008) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2019-03-04 22:41:06  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:41:06  django.db.backends  DEBUG  [90]   (0.009) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:37  django.db.backends  DEBUG  [90]   (0.010) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:37  django.db.backends  DEBUG  [90]   (0.012) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.011) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.009) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.011) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.008) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.012) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.011) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:38  django.db.backends  DEBUG  [90]   (0.009) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
2019-03-04 22:44:39  django.db.backends  DEBUG  [90]   (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-03-04 22:44:39  django.db.backends  DEBUG  [90]   (0.012) SELECT `auth_user`.`username`, `auth_user`.`email` FROM `auth_user` LIMIT 10; args=()
